ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050890	cognition	81/2803	359/28814	4.3021639899324e-13	1.78597167768727e-10	1.12188360607641e-10	Tacr1/Gpr155/Th/Slc8a2/Foxo6/Drd2/Ntan1/Adora1/Oprl1/Chrm1/Cacna1e/Kalrn/Ldlr/Camk4/Ntrk1/Pak1/Aph1c/Grm4/Grm7/Slc6a4/Crhr1/Hmgcr/Jun/Hif1a/Nog/Sorcs3/Ncam1/Cnr1/Nrxn2/Ghsr/Adrb1/Cntn2/Nptx2/Tbr1/Gnas/Gtf2a1l/Tanc1/Kcnab1/Camk2n1/Adcy8/Ptn/Chrnb2/Man2b1/Neurog1/Tmprss11e/Picalm/Synpo/C1ql1/Htr6/Atp1a2/Bdnf/Asic1/Cyp7b1/Adcy3/Ntf3/App/Chrna7/Ephb2/S100b/Shisa7/Braf/Adra1b/Foxb1/Prkar2b/Ntsr1/Pde1b/Adrb2/Ctnnd2/Sgk1/Dnah11/Nts/Drd1/Nps/Lmx1b/Ube3a/Rcan1/Cyfip1/Cacna1c/Tlr2/Kit/Rag1	81
GO:0034329	cell junction assembly	93/2803	441/28814	5.55876288704702e-13	2.12718829322103e-10	1.3362236943716e-10	Rcc2/Lamc1/Sema4d/Amigo1/Lrp4/Itgav/Nfasc/Sdk2/Lrrc4/Nrg2/Ptpro/Mdga1/Pard6b/Cav1/Prkaca/Ntrk1/Zfp703/Coro1c/Pak2/Vegfa/Bcas3/Ikbkb/Cbln1/Pard3/Snai1/Pip5k1a/Lrrn3/Gja5/Magi2/Nrxn2/Gja1/Ghsr/Cdh22/Ptprs/Jam3/Ect2/Dlc1/Enpp2/Ctnnb1/Ston1/Slitrk2/Ntrk3/Itgb3/Tesk2/Cldn16/Ptk2/Gpc4/Rapgef1/Gap43/Chrnb2/Coro2b/Clasp1/Pdlim5/Sdk1/Pkn2/Lrrtm3/Pclo/Ldb1/Pcdh17/Nr1h4/Pdgfb/Wnt11/Pkp1/Bdnf/Cdh12/Erbb4/Kirrel3/App/Gjb6/Cdh11/Rhpn1/Ephb2/Ntng2/Colq/Lrtm2/Fbxo45/Ocln/Thbs2/Smad7/Ptprk/Flrt1/Ctnnd2/Cdc42/Nrp1/Actg1/Ptk2b/Tlr2/Gsk3b/Slk/Rock2/Cd9/Dlg1/Mpdz	93
GO:0006813	potassium ion transport	62/2803	243/28814	8.86155095615659e-13	2.95541699855079e-10	1.85648737951277e-10	Atp4a/Kcnj9/Kcnj10/Kcnip1/Kcnj6/Kcnc2/Kcnv2/Kcng1/Amigo1/Drd2/Adora1/Kcnip2/Cckar/Tmem38b/Kcnt1/Rgs4/Atp4b/Cav1/Slc24a5/Akap9/Kcns2/Plcb4/Neto2/Gja5/Kcnk3/Slc24a4/Kcnk9/Slc9a8/Kcnab1/Kcna4/Kcnk10/Kcna3/Kcnj16/Calm1/Kcng4/Kcnt2/Cav3/Atp1a4/Atp1a2/Hbp1/Kcnh6/Kcnh3/Wwp2/Fhl1/Kcnc4/Cacna1d/Kcnj3/Atp1b1/Kcne3/Adrb2/Kcnj2/Ywhae/Slc9a6/Ank2/Kcnj15/Gck/Ptk2b/Kcnd3/Kcnk15/Dlg1/Nedd4/Cxcl1	62
GO:0008038	neuron recognition	25/2803	51/28814	9.01765263729966e-13	2.95541699855079e-10	1.85648737951277e-10	Myot/Amigo1/L1cam/Epha4/Nrcam/Ncam1/Cnr1/Cntn2/Vstm2l/Tnfrsf21/Gap43/Robo2/Arhgap35/Bdnf/Dscam/App/Sema3a/Ephb2/Ywhaz/Robo1/Nrp1/Sema5a/Prtg/Ext1/Mypn	25
GO:0022604	regulation of cell morphogenesis	77/2803	338/28814	9.65609639608013e-13	3.00642561291955e-10	1.88852916883336e-10	Rcc2/Sema4d/Dock5/Epha4/Slc26a5/Kalrn/Strip2/Marcks/Grip1/Rnd1/Il6/Coro1c/Vegfa/Fitm2/Fmnl2/Msn/Rab21/Pak3/Ccl24/Dnmbp/Ptprf/Rhobtb1/Rhoq/Bcar1/Rnf157/Cntn2/Arap3/Dhx36/Dlc1/Enpp2/Bambi/Brwd3/Csf1r/Prpf40a/Ptn/Itgb3/Ptk2/Kank1/Parvb/Myh14/Picalm/Cdc42ep4/Arhgap35/Parva/Myo5b/4930544G11Rik/Dlg4/Ephb2/S100b/Cfdp1/Anxa1/Ntng2/Myo10/Braf/Nedd9/Postn/Hck/Aldoart2/Sgk1/Crk/Rhof/Cdc42/Nrp1/Baiap2/Larp4/Ptk2b/Cyfip1/Eps8/Rdx/Met/Rhob/Syne3/Rnd2/Hpse/Numbl/Dlg1/Kit	77
GO:0051962	positive regulation of nervous system development	80/2803	359/28814	1.19093338171261e-12	3.53140103234497e-10	2.21829997315492e-10	Gfap/Sema4d/Nefl/Star/Tiam2/Amigo1/Drd2/L1cam/Xrcc6/Epha4/Kalrn/Marcks/Ntrk1/Pak1/Zfp365/Il6/Vegfa/Rab21/Pak3/Hap1/Hif1a/Cbln1/Nog/Ptprf/Lrrn3/Xrcc5/Nap1l1/Mapk8/Trp73/Trim32/Dhx36/Enpp2/Wnt3/Ctnnb1/Disc1/Slitrk2/Ptn/Ntrk3/Ptk2/Map6/Lpar3/Tgm2/Gli3/Lrrtm3/Picalm/Id2/Robo2/Lyn/Fxn/Bdnf/Myo5b/Shtn1/Dscam/Fzd3/Ntf3/Ephb2/Islr2/Clcf1/Braf/Lrtm2/Man2a1/Thbs2/Robo1/Flrt1/Sema7a/Sgk1/Map1b/Nrp1/Baiap2/Cyfip1/Sema5a/Met/Tlr2/Dct/Eif2b2/Rnd2/Gsk3b/Numbl/Kit/Trpc5	80
GO:0033002	muscle cell proliferation	63/2803	259/28814	5.59655467527542e-12	1.45207274845583e-09	9.12140226900151e-10	Tacr1/Angpt1/Il12b/Ang4/Myog/Ldlrap1/Xrcc6/Thbs1/Ptgir/Kalrn/Cav1/Vgll4/Rps6kb1/Pak1/Il6/Hdac4/Ddr2/Vegfa/Hmgcr/Jun/Nampt/Hif1a/Nog/Myocd/Ncam1/Xrcc5/Gja1/Prkar1a/Sav1/Trib1/Foxj2/C3ar1/Gnai2/Trp73/Il12a/Ctnnb1/Tcf7l2/Megf10/Itgb3/Ptk2/Cited2/Zfp143/Fgf1/Id2/Ern1/Pdgfb/Erbb4/Tgfbr2/Il6ra/Grk2/Igfbp3/Skp2/Nqo2/Cdk1/Stat5b/Tbx20/Igf1r/Smad1/Tgfbr1/Rbp4/Gsk3b/Calcrl/Serpinf2	63
GO:0001667	ameboidal-type cell migration	91/2803	452/28814	1.46852762734825e-11	3.51712366749906e-09	2.20933144260166e-09	Rcc2/Tacr1/Anxa6/Angpt1/Sema4d/Atoh8/Dock5/Itgav/Slc8a1/Stard13/Lrp6/Pik3cg/Thbs1/Nr2e1/Anxa3/Cygb/Sema4c/Pak1/Acvr1/Coro1c/Ddr2/Vegfa/Bcas3/Pak3/Jun/Hif1a/Pip5k1a/Schip1/Bcar1/Emc10/Nfe2l2/Vash1/Sema3b/Sema5b/Adam17/Arid5b/Enpp2/S100a2/Phox2b/Adipor2/Sema6a/Itgb3/Ptk2/Kank1/Mcc/Zfand5/Pfn2/Clasp1/Fgf1/Pkn2/Anln/Edn2/Fbxw7/Pdgfb/Wnt11/Erbb4/Map2k3/Sema3a/Adtrp/Tgfbr2/Hdac5/Anxa1/Alx1/Timp1/Braf/Plpp3/Pik3cd/Tmem201/Lrp5/Adam9/Tbx1/Robo1/Map2k5/Sema7a/Glipr2/Cdc42/Nrp1/Adipor1/Sema6d/Tgfbr1/Ptk2b/Sema5a/Ets1/Met/Rhob/Rock2/Adgra2/Fstl1/Kit/Akt3/Ptprm	91
GO:0045926	negative regulation of growth	63/2803	265/28814	1.60888928634691e-11	3.71057540225268e-09	2.33085091152636e-09	Socs2/Sema4d/Rai1/Cga/Rgs4/Rerg/Vgll4/Sema4c/Spg20/Pak1/Slc6a4/Hif1a/Nog/Fstl4/Dnajb2/Stc2/Sesn1/Atxn2/Gja1/Adrb1/Sav1/Ptprs/D1Pas1/Sema3b/Zmat3/Gnas/Trp73/Gdf15/Sema5b/Tmprss4/Wnt3/Cdkn2aip/Tcf7l2/Adipor2/Sema6a/Ryk/Ptk2/Cited2/Prdm11/Smad4/Yy1/Rgs2/Dcun1d3/Cav3/Wnt11/D7Ertd443e/Fxn/Sema3a/Tnk1/Tgfbr2/Fhl1/Sesn2/Stk3/Sfrp1/Adrb2/Sema7a/Nrp1/Adipor1/Sema6d/Rbp4/Sema5a/Gsk3b/Ankrd26	63
GO:0099003	vesicle-mediated transport in synapse	61/2803	254/28814	2.14037502517967e-11	4.69577239328613e-09	2.94971646622962e-09	Th/Nsg1/Fbxl20/Drd2/P2rx7/Vamp4/Rims3/Grin3a/Grip1/Cplx4/Prkaca/Cplx2/Erc2/Grm4/Grm7/Ddc/Hap1/Magi2/Atp2a2/Git2/Stx3/Grik5/Vamp1/Slc10a4/Doc2b/Ctnnb1/Ston1/Itgb3/Syn3/Syt6/Gsg1l/Adora2a/Chrnb2/Pfn2/Pclo/Picalm/Pcdh17/Ncs1/Slc4a8/Sncb/Ap2b1/Myo5b/Chrna7/Syt7/Fcho2/Syn1/Braf/Cplx3/Dnajc6/Adrb2/P2rx1/Chrna3/Drd1/Actg1/Cyfip1/Rims4/Ctbp2/Gsk3b/Grip2/Nedd4/Slc17a8	61
GO:0034765	regulation of ion transmembrane transport	97/2803	498/28814	2.26229599805017e-11	4.69577239328613e-09	2.94971646622962e-09	Clic4/Atp4a/Kcnj9/Kcnj10/Kcnip1/Kcnj6/Kcnc2/Stim2/Kcnv2/Kcng1/Amigo1/Drd2/Trpc1/Oprl1/Tesc/Kcnip2/Tmem38b/Slc8a1/Cacng2/P2rx7/Pik3cg/Rgs4/Cacna1e/Arg1/Slc26a5/Atp4b/Cav1/Stac/Gpr35/Akap9/Kcns2/Ikbkb/Hap1/Neto2/Tspan13/Tcirg1/Hvcn1/Adrb1/Grin2c/Cnksr3/Scn1a/Ctss/Alox5/Kcnab1/Arl6ip1/Kcna4/Rasgrf1/Cacng5/F2r/Cacna2d2/Htr3a/Kcna3/Itgb3/Gsg1l/Cacna1h/Rgs2/Kcnj16/Calm1/Kcng4/Lyn/Cacng4/Cav3/Atp1a2/Fxyd4/App/Kcnh3/Cacng3/Dlg4/Ephb2/Wwp2/Fhl1/Kcnc4/Cftr/Cacna1d/Kcnj3/Tmc1/Atp1b1/Ntsr1/Kcne3/Adrb2/Kcnj2/Ppif/P2rx1/Tcaf1/Cacna2d1/Ywhae/Ank2/Drd1/Cacnb1/Kcnj15/Ptk2b/Cacna1c/Kcnd3/Chrm3/Cabp1/Dlg1/Nedd4	97
GO:0040013	negative regulation of locomotion	74/2803	340/28814	2.7068847829909e-11	5.43734565925301e-09	3.41554630003198e-09	Clic4/Sema4d/Frmd5/Drd2/Adora1/Was/Epha4/Stard13/Ngfr/Thbs1/Acan/Cygb/Olfm1/Sema4c/Ripor2/Coro1c/Nog/Myocd/Magi2/Nfe2l2/Ghsr/Vash1/Scai/Dpysl3/Arap3/Trib1/Sema3b/Sema5b/Dlc1/Wnt3/Rap2a/Adipor2/Ptn/Sema6a/Ryk/Arrdc3/Ptk2/Cited2/Kank1/Mcc/Adora2a/Pfn2/Clasp1/Robo2/Jag1/Nav3/Pdgfb/Wnt11/Erbb4/Sema3a/Adtrp/Hdac5/Igfbp3/Fuz/Timp1/Braf/Abhd2/Sfrp1/Robo1/Ptprk/Map2k5/Sema7a/Tcaf1/Crk/Nrp1/Adipor1/Sema6d/Drd1/Sema5a/Rhob/Ccl28/Gsk3b/Ptprm/Adgrg1	74
GO:0048588	developmental cell growth	64/2803	277/28814	4.12574363202835e-11	7.78515321110319e-09	4.8903551312974e-09	Sema4d/L1cam/Rgs4/Nr3c1/Olfm1/Akap13/Sema4c/Spg20/Pak1/Map2k4/Vegfa/Arih2/Rab21/Fstl4/Myocd/Sin3a/Rnf157/Adrb1/Ptprs/Sema3b/Auts2/Sema5b/Wnt3/Ctnnb1/Csf1r/Disc1/Ntrk3/Sema6a/Ryk/Yy1/Rgs2/Lpar3/Pdlim5/Picalm/Edn2/Cav3/Fxn/Bdnf/Myo5b/Shtn1/Dscam/App/Sema3a/Tmem108/Tgfbr2/Islr2/Mgll/Barhl2/Adra1b/Postn/Smad7/Flrt1/Sema7a/Map1b/Nrp1/Slc9a6/Sema6d/Cyfip1/Sema5a/Eif2b2/Rnd2/Gsk3b/Ext1/Trpc5	64
GO:1903829	positive regulation of cellular protein localization	95/2803	491/28814	5.32313970464088e-11	9.74917380611729e-09	6.12408270663948e-09	Pdcd5/Mark4/Brca1/Ang4/Lrp4/Blk/Ric3/Chrm1/Cep120/Ngfr/Cacng2/P2rx7/Hnrnpm/Myrip/Limk2/Stac/Camk4/Prkaca/Pak1/Il6/Vegfa/Bcas3/Msn/Hif1a/Ogt/Ptpn9/Wwtr1/Ddrgk1/Rab11fip2/Gja1/Adrb1/Fis1/Myo18a/Cep135/Exoc1/Ect2/Mff/Stx3/Aacs/Doc2b/Camk2n1/Nnat/Adcy8/Gpsm2/Tcf7l2/Cdk5rap3/Ptn/Cd33/Cyld/Adora2a/Cnst/Coro2b/Pinx1/Gli3/Prkcq/Nr1h4/Ormdl3/Fbxw7/Mcu/Wipf1/Cd247/Ap2b1/Myo5b/Erbb4/Rph3al/App/Anp32b/Dlg4/Ephb2/Oaz1/Plk3/Sesn2/Cftr/Cacna1d/Cdk1/Prkaa2/Tcp1/Ccdc88a/Adam9/Frmd4a/Tcaf1/Ywhae/Tmem35a/Cdc42/Larp7/Gck/Rbp4/Trappc12/Rdx/Tlr2/Gsk3b/Rock2/Grip2/Dlg1/Abat	95
GO:0032535	regulation of cellular component size	81/2803	393/28814	5.73513815562211e-11	1.02036300843025e-08	6.40955590565165e-09	Capn1/Sema4d/Tmod3/Nefl/L1cam/Gsn/Was/P2rx7/Slc26a5/Neb/Map3k1/Olfm1/Sema4c/Spg20/Pak1/Tmod1/Vegfa/Rab21/Pak3/Ccl24/Tmem123/Ogt/Fstl4/Sin3a/Cntn2/Ptprs/Sema3b/Trp73/Sema5b/Wnt3/Disc1/Ntrk3/Sema6a/Ryk/Kank1/Pex11a/Pfn2/Lpar3/Specc1l/Nck1/Pclo/Picalm/Cdc42ep4/Il7r/Cav3/Arhgap35/Fxn/Kirrel/Bdnf/Myo5b/Shtn1/Dscam/Sema3a/Arpc1a/Islr2/Rb1cc1/Mgll/Atp2b2/Lars/Barhl2/Prkg2/Nckap1l/Sema7a/Pycard/Map1b/Nrp1/Sema6d/Baiap2/Ptk2b/Cyfip1/Sema5a/Eps8/Nck2/Rdx/Tlr2/Eif2b2/Rnd2/Gsk3b/Dlg1/Akt3/Trpc5	81
